Процессы (в консоль ограничено, в файл пишется полный список):
82478    kworker/0:0-events           Normal     2025-12-19 17:02:42 Running/R… 0,00     0         
11       kworker/0:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
86055    kworker/0:1                  Normal     2025-12-19 17:16:41 Running/R… 0,00     0         
170      kworker/0:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,04     0         
73506    kworker/0:2-events           Normal     2025-12-19 16:42:18 Running/R… 0,09     0         
83893    kworker/10:0-mm_percpu_wq    Normal     2025-12-19 17:13:21 Running/R… 0,00     0         
55       kworker/10:0H-events_highpri RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
72681    kworker/10:1-mm_percpu_wq    Normal     2025-12-19 16:39:21 Running/R… 0,08     0         
174      kworker/10:1H-kblockd        RealTime   2025-12-19 14:41:09 Running/R… 0,05     0         
82657    kworker/10:2-cgroup_free     Normal     2025-12-19 17:04:01 Running/R… 0,00     0         
72523    kworker/11:0-events          Normal     2025-12-19 16:38:42 Running/R… 0,09     0         
103      kworker/11:0H-events_highpri RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
85975    kworker/11:1                 Normal     2025-12-19 17:16:02 Running/R… 0,00     0         
153      kworker/11:1H-kblockd        RealTime   2025-12-19 14:41:09 Running/R… 0,01     0         
83189    kworker/11:2-mm_percpu_wq    Normal     2025-12-19 17:08:41 Running/R… 0,00     0         
74012    kworker/12:0-events          Normal     2025-12-19 16:45:22 Running/R… 0,04     0         
61       kworker/12:0H-events_highpri RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
85671    kworker/12:1-events          Normal     2025-12-19 17:14:10 Running/R… 0,00     0         
177      kworker/12:1H-kblockd        RealTime   2025-12-19 14:41:09 Running/R… 0,05     0         
83032    kworker/12:2-events          Normal     2025-12-19 17:07:11 Running/R… 0,00     0         
84853    kworker/13:0                 Normal     2025-12-19 17:14:05 Running/R… 0,00     0         
109      kworker/13:0H-events_highpri RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
286      kworker/13:1-mm_percpu_wq    Normal     2025-12-19 14:41:09 Running/R… 0,13     0         
272      kworker/13:1H-kblockd        RealTime   2025-12-19 14:41:09 Running/R… 0,01     0         
82550    kworker/13:2-events          Normal     2025-12-19 17:03:21 Running/R… 0,00     0         
67       kworker/14:0H-events_highpri RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
38983    kworker/14:1-events          Normal     2025-12-19 15:03:57 Running/R… 0,22     0         
199      kworker/14:1H-kblockd        RealTime   2025-12-19 14:41:09 Running/R… 0,05     0         
83384    kworker/14:2-cgroup_free     Normal     2025-12-19 17:10:02 Running/R… 0,00     0         
82307    kworker/15:0-events          Normal     2025-12-19 17:01:21 Running/R… 0,00     0         
115      kworker/15:0H-events_highpri RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
59145    kworker/15:1-events          Normal     2025-12-19 15:45:24 Running/R… 0,03     0         
270      kworker/15:1H-kblockd        RealTime   2025-12-19 14:41:09 Running/R… 0,01     0         
72       kworker/1:0-mm_percpu_wq     Normal     2025-12-19 14:41:08 Running/R… 0,14     0         
73       kworker/1:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
34229    kworker/1:1-events           Normal     2025-12-19 14:55:08 Running/R… 0,00     0         
267      kworker/1:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,01     0         
26220    kworker/2:0                  Normal     2025-12-19 14:49:16 Running/R… 0,00     0         
31       kworker/2:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
268      kworker/2:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,04     0         
59672    kworker/2:2-events           Normal     2025-12-19 15:45:51 Running/R… 0,21     0         
73647    kworker/3:0-events           Normal     2025-12-19 16:43:21 Running/R… 0,02     0         
79       kworker/3:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
190      kworker/3:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,03     0         
52947    kworker/3:2-events           Normal     2025-12-19 15:33:24 Running/R… 0,00     0         
51560    kworker/4:0-events           Normal     2025-12-19 15:31:55 Running/R… 0,14     0         
37       kworker/4:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
81042    kworker/4:1-cgroup_free      Normal     2025-12-19 16:57:21 Running/R… 0,00     0         
202      kworker/4:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,05     0         
83114    kworker/4:2                  Normal     2025-12-19 17:08:01 Running/R… 0,00     0         
66647    kworker/5:0-cgroup_bpf_dest… Normal     2025-12-19 16:35:35 Running/R… 0,04     0         
85       kworker/5:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
76228    kworker/5:1-mm_percpu_wq     Normal     2025-12-19 16:46:34 Running/R… 0,05     0         
269      kworker/5:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,01     0         
84832    kworker/6:0-mm_percpu_wq     Normal     2025-12-19 17:14:01 Running/R… 0,00     0         
43       kworker/6:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
82853    kworker/6:1-cgroup_free      Normal     2025-12-19 17:06:02 Running/R… 0,00     0         
140      kworker/6:1H-kblockd         RealTime   2025-12-19 14:41:08 Running/R… 0,04     0         
72844    kworker/6:2-events_freezable Normal     2025-12-19 16:40:01 Running/R… 0,13     0         
83493    kworker/7:0-cgroup_free      Normal     2025-12-19 17:10:41 Running/R… 0,00     0         
91       kworker/7:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
86122    kworker/7:1-mm_percpu_wq     Normal     2025-12-19 17:17:21 Running/R… 0,00     0         
273      kworker/7:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,00     0         
65811    kworker/7:2-mm_percpu_wq     Normal     2025-12-19 16:34:01 Running/R… 0,12     0         
84055    kworker/8:0-events           Normal     2025-12-19 17:13:57 Running/R… 0,01     0         
49       kworker/8:0H-events_highpri  RealTime   2025-12-19 14:41:08 Running/R… 0,00     0         
72758    kworker/8:1-events           Normal     2025-12-19 16:39:48 Running/R… 0,08     0         
200      kworker/8:1H-kblockd         RealTime   2025-12-19 14:41:09 Running/R… 0,05     0         
82933    kworker/8:2-events           Normal     2025-12-19 17:06:41 Running/R… 0,00     0         
